ID,Location,Notes,Reviewer
PAC21_2,Brazil,,AC
,-  ,Off topic,AC
,-,Off topic,AC
PAC09,Brazil,,AC
PAC14,Brazil,,AC
PAC07,Brazil,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
PAI20,Brasil,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Not in neotropics,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Not control,AC
,-,Off topic,AC
,-,Off topic,AC
PAR19_1,Colombia,,AC
PAR19_2,Colombia,,AC
,-,Off topic,AC
,-,Not in neotropics,AC
,-,Off topic,AC
PAU13,Brazil,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,No control,AC
,-,No control,AC
PER21_1,Brazil,,AC
PER21_2,Brazil,,AC
,-,Off topic,AC
,-,Off topic,AC
PER08,Mexico,,AC
,-,No control,AC
PER21_3,Mexico,,AC
,-,Book- Could not have access,AC
,-,No control,AC
PER15,Argentina,,AC
,Review,Review,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Not in neotropics,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Not in neotropics,AC
,Review,Review,AC
,Review,Review,AC
,-,Book chapter- good for references,AC
,Review,Review,AC
,-,Off topic,AC
,-,Off topic,AC
,-,No control,AC
PEZ15,Brazil,,AC
,-,No control,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
PIL15,Brazil,,AC
,-,Off topic,AC
PIN15,Colombia,,AC
,Review,Review,AC
PIN21,Brazil,,AC
,-,No control,AC
PIN14,Mexico,,AC
,-,Off topic,AC
,-,Off topic,AC
PIT20,Brazil,,AC
,-,Off topic,AC
,-,No control,AC
PLE19,Argentina,,AC
,Review,Review for references,AC
POL21,Colombia,,AC
,-,Off topic,AC
,-,Off topic,AC
                     ,-,No control,AC
PRA16,Brazil,,AC
,-,Off topic,AC
PRI17,Colombia,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,Review,Review,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Good for references,AC
,-,Good for references,AC
,-,Off topic,AC
,Review,Did not find the text,AC
,-,Not in neotropics,AC
,-,Off topic,AC
,-,Off topic,AC
RAM12_1,Chile,,AC
RAM12_2,Colombia,,AC
RAM03,Colombia,,AC
RAM19,Mexico,,AC
RAM18,Cuba,,AC
RAQ18,Brazil,,AC
RAQ16,Colombia,,AC
RAQ15,Colombia,,AC
,-,Off topic,AC
REB21,Mexico,,AC
,-,Off topic,AC
,-,Off topic,AC
REI10,Brazil,,AC
REI21,Brazil,,AC
REI20,Panama,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
RES20,Brazil,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,congress abstract-could not have access,AC
RIE14,Panama,,AC
RIE13,Panama,,AC
,-,No control,AC
,-,Off topic,AC
RIO08,Costa Rica,,AC
,-,,AC
RIV19,Colombia,,AC
,-,Off topic,AC
RIV15,Colombia,,AC
,-,Off topic,AC
,-,Off topic,AC
RIV13,Colombia,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,No control,AC
,-,Off topic,AC
,Brazil,,AC
ROD15,Brazil,,AC
ROD16,Brazil,,AC
,-,No control,AC
,-,Off topic,AC
ROD18,Brazil,,AC
,-,No control,AC
,-,No control,AC
ROD08,Venezuela,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Opinion,AC
,-,Off topic,AC
,-,Off topic,AC
,-,No control,AC
ROS19,Argentina,,AC
ROS18,Ecuador,,AC
,-,No control,AC
,-,Off topic,AC
,-,No control,AC
ROU13,Nicaragua,,AC
,-,Off topic,AC
,Review,Review,AC
,-,No control,AC
RUI14,Mexico,,AC
,-,No control,AC
,-,No control,AC
,-,No control,AC
,-,No control,AC
,-,Off topic,AC
RUS14,Nicaragua,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Opinion,AC
,-,Off topic,AC
,-,Not in neotropics,AC
SAN13,Brazil,,AC
,-,Off topic,AC
,-,Off topic,AC
,Review,Review,AC
,Review,Review,AC
,-,Off topic,AC
SAN11,Colombia,,AC
SAN05,Nicaragua,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
SAN07,Cuba,,AC
,Review,Review,AC
SAN11,Cuba,,AC
,-,No control,AC
,-,No control,AC
,-,No control,AC
,-,Off topic,AC
,-,No control,AC
,-,Off topic,AC
SAN10,Chile,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,Review,Review,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
SAN18,Brazil,,AC
SAN16_1,Brazil,,AC
SAN16_2,Brazil,,AC
,-,Off topic,AC
,-,Book Chapter,AC
SAR20,Mexico,,AC
,-,Off topic,AC
,-,Off topic,AC
SAR20,Brazil ,,AC
SAU20,Peru,,AC
,-,Book Chapter,AC
,- ,No control,AC
,-,No control,AC
,-,Off Topic,AC
,-,No control,AC
,-,Off Topic,AC
,-,Meta-analysis,AC
,-,Not in neotropics,AC
SIE02,Antilles,,AC
,-,No control,AC
SIE05,Antilles,,AC
,-,Off topic,AC
SIL16,Argentina,,AC
SIL15,Argentina,,AC
SIL19,Argentina,,AC
SIL09,Brazil,,AC
,-,No control,AC
,-,Off topic,AC
,-,Off topic,AC
SIL10,Brazil,,AC
SIL15,Brazil,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,No control,AC
,Review,Review,AC
,-,No control,AC
,-,Off topic,AC
,-,Not in neotropics,AC
,-,No control,AC
,-,No control,AC
,-,No control,AC
,-,No control,AC
,-,No control,AC
,-,Not in neotropics,AC
SKO21,Brazil,,AC
,-,Not in neotropics,AC
,Review,Review,AC
,-,Off topic,AC
SOA03,Brazil,,AC
,-,Off topic,AC
,-,No control,AC
SOC18,Cuba,,AC
,-,Off topic,AC
SOL18,Argentina,,AC
,-,Off topic,AC
SOL13,Argetnina,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,No control,AC
